"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MFP","TOT","AGRWTH","A","2001",2.38085,
"AUS","MFP","TOT","AGRWTH","A","2002",0.556915,
"AUS","MFP","TOT","AGRWTH","A","2003",1.444126,
"AUS","MFP","TOT","AGRWTH","A","2004",-0.807481,
"AUS","MFP","TOT","AGRWTH","A","2005",-0.541687,
"AUS","MFP","TOT","AGRWTH","A","2006",-0.092934,
"AUS","MFP","TOT","AGRWTH","A","2007",0.135219,
"AUS","MFP","TOT","AGRWTH","A","2008",1.436071,
"AUS","MFP","TOT","AGRWTH","A","2009",-1.439183,
"AUS","MFP","TOT","AGRWTH","A","2010",0.308807,
"AUS","MFP","TOT","AGRWTH","A","2011",0.22302,
"AUS","MFP","TOT","AGRWTH","A","2012",0.799363,
"AUS","MFP","TOT","AGRWTH","A","2013",0.687354,
"AUS","MFP","TOT","AGRWTH","A","2014",-0.081471,
"AUS","MFP","TOT","AGRWTH","A","2015",1.803537,
"AUS","MFP","TOT","AGRWTH","A","2016",-0.19349,
"AUS","MFP","TOT","AGRWTH","A","2017",0.914059,
"AUS","MFP","TOT","AGRWTH","A","2018",-0.027473,
"AUS","MFP","TOT","AGRWTH","A","2019",0.308568,
"AUS","MFP","TOT","AGRWTH","A","2020",1.366577,
"AUS","MFP","TOT","AGRWTH","A","2021",1.164439,
"AUT","MFP","TOT","AGRWTH","A","2001",-0.055296,
"AUT","MFP","TOT","AGRWTH","A","2002",0.6434,
"AUT","MFP","TOT","AGRWTH","A","2003",-0.207767,
"AUT","MFP","TOT","AGRWTH","A","2004",1.224977,
"AUT","MFP","TOT","AGRWTH","A","2005",1.624072,
"AUT","MFP","TOT","AGRWTH","A","2006",2.066348,
"AUT","MFP","TOT","AGRWTH","A","2007",2.022537,
"AUT","MFP","TOT","AGRWTH","A","2008",-0.452293,
"AUT","MFP","TOT","AGRWTH","A","2009",-2.16249,
"AUT","MFP","TOT","AGRWTH","A","2010",0.944331,
"AUT","MFP","TOT","AGRWTH","A","2011",0.692385,
"AUT","MFP","TOT","AGRWTH","A","2012",0.25628,
"AUT","MFP","TOT","AGRWTH","A","2013",-0.289308,
"AUT","MFP","TOT","AGRWTH","A","2014",-0.168234,
"AUT","MFP","TOT","AGRWTH","A","2015",0.611637,
"AUT","MFP","TOT","AGRWTH","A","2016",-0.31935,
"AUT","MFP","TOT","AGRWTH","A","2017",0.722947,
"AUT","MFP","TOT","AGRWTH","A","2018",0.138031,
"AUT","MFP","TOT","AGRWTH","A","2019",-0.586858,
"AUT","MFP","TOT","AGRWTH","A","2020",-0.766258,
"AUT","MFP","TOT","AGRWTH","A","2021",0.063116,
"BEL","MFP","TOT","AGRWTH","A","2001",-1.094598,
"BEL","MFP","TOT","AGRWTH","A","2002",-0.332729,
"BEL","MFP","TOT","AGRWTH","A","2003",-0.212758,
"BEL","MFP","TOT","AGRWTH","A","2004",2.137556,
"BEL","MFP","TOT","AGRWTH","A","2005",0.510042,
"BEL","MFP","TOT","AGRWTH","A","2006",-0.073941,
"BEL","MFP","TOT","AGRWTH","A","2007",1.105595,
"BEL","MFP","TOT","AGRWTH","A","2008",-1.46267,
"BEL","MFP","TOT","AGRWTH","A","2009",-1.87946,
"BEL","MFP","TOT","AGRWTH","A","2010",1.032213,
"BEL","MFP","TOT","AGRWTH","A","2011",-0.927074,
"BEL","MFP","TOT","AGRWTH","A","2012",-0.162611,
"BEL","MFP","TOT","AGRWTH","A","2013",0.156081,
"BEL","MFP","TOT","AGRWTH","A","2014",0.784392,
"BEL","MFP","TOT","AGRWTH","A","2015",0.915071,
"BEL","MFP","TOT","AGRWTH","A","2016",-0.36613,
"BEL","MFP","TOT","AGRWTH","A","2017",-0.487097,
"BEL","MFP","TOT","AGRWTH","A","2018",-0.123367,
"BEL","MFP","TOT","AGRWTH","A","2019",0.363221,
"BEL","MFP","TOT","AGRWTH","A","2020",0.214773,
"BEL","MFP","TOT","AGRWTH","A","2021",-0.045004,
"CAN","MFP","TOT","AGRWTH","A","2001",0.500211,
"CAN","MFP","TOT","AGRWTH","A","2002",1.097301,
"CAN","MFP","TOT","AGRWTH","A","2003",-0.298436,
"CAN","MFP","TOT","AGRWTH","A","2004",0.355783,
"CAN","MFP","TOT","AGRWTH","A","2005",1.201829,
"CAN","MFP","TOT","AGRWTH","A","2006",0.293511,
"CAN","MFP","TOT","AGRWTH","A","2007",-0.562411,
"CAN","MFP","TOT","AGRWTH","A","2008",-1.029508,
"CAN","MFP","TOT","AGRWTH","A","2009",-0.988696,
"CAN","MFP","TOT","AGRWTH","A","2010",0.860193,
"CAN","MFP","TOT","AGRWTH","A","2011",1.209666,
"CAN","MFP","TOT","AGRWTH","A","2012",-0.131124,
"CAN","MFP","TOT","AGRWTH","A","2013",0.953674,
"CAN","MFP","TOT","AGRWTH","A","2014",1.977633,
"CAN","MFP","TOT","AGRWTH","A","2015",-0.466146,
"CAN","MFP","TOT","AGRWTH","A","2016",0.178512,
