"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","ULC","EMP","PC_CHGPP","A","2001",3.245675,
"ITA","ULC","EMP","PC_CHGPP","A","2002",3.890536,
"ITA","ULC","EMP","PC_CHGPP","A","2003",4.299952,
"ITA","ULC","EMP","PC_CHGPP","A","2004",2.535896,
"ITA","ULC","EMP","PC_CHGPP","A","2005",2.356131,
"ITA","ULC","EMP","PC_CHGPP","A","2006",2.41178,
"ITA","ULC","EMP","PC_CHGPP","A","2007",2.001972,
"ITA","ULC","EMP","PC_CHGPP","A","2008",4.043105,
"ITA","ULC","EMP","PC_CHGPP","A","2009",4.35831,
"ITA","ULC","EMP","PC_CHGPP","A","2010",-0.021491,
"ITA","ULC","EMP","PC_CHGPP","A","2011",0.4973658,
"ITA","ULC","EMP","PC_CHGPP","A","2012",1.464803,
"ITA","ULC","EMP","PC_CHGPP","A","2013",0.9137855,
"ITA","ULC","EMP","PC_CHGPP","A","2014",0.1945706,
"ITA","ULC","EMP","PC_CHGPP","A","2015",0.9171783,
"ITA","ULC","EMP","PC_CHGPP","A","2016",0.3262431,
"ITA","ULC","EMP","PC_CHGPP","A","2017",-0.05314364,
"ITA","ULC","EMP","PC_CHGPP","A","2018",1.999415,
"ITA","ULC","EMP","PC_CHGPP","A","2019",1.296129,
"ITA","ULC","EMP","PC_CHGPP","A","2020",3.191617,
"ITA","ULC","EMP","PC_CHGPP","A","2021",0.03695557,
"SVK","ULC","EMP","PC_CHGPP","A","2001",2.945477,
"SVK","ULC","EMP","PC_CHGPP","A","2002",4.192708,
"SVK","ULC","EMP","PC_CHGPP","A","2003",3.355283,
"SVK","ULC","EMP","PC_CHGPP","A","2004",2.285934,
"SVK","ULC","EMP","PC_CHGPP","A","2005",3.613593,
"SVK","ULC","EMP","PC_CHGPP","A","2006",1.656644,
"SVK","ULC","EMP","PC_CHGPP","A","2007",0.2180686,
"SVK","ULC","EMP","PC_CHGPP","A","2008",4.266301,
"SVK","ULC","EMP","PC_CHGPP","A","2009",6.39648,
"SVK","ULC","EMP","PC_CHGPP","A","2010",-1.979397,
"SVK","ULC","EMP","PC_CHGPP","A","2011",0.9415075,
"SVK","ULC","EMP","PC_CHGPP","A","2012",0.5946218,
"SVK","ULC","EMP","PC_CHGPP","A","2013",1.091465,
"SVK","ULC","EMP","PC_CHGPP","A","2014",0.7733907,
"SVK","ULC","EMP","PC_CHGPP","A","2015",0.9296407,
"SVK","ULC","EMP","PC_CHGPP","A","2016",2.473552,
"SVK","ULC","EMP","PC_CHGPP","A","2017",4.52932,
"SVK","ULC","EMP","PC_CHGPP","A","2018",4.012622,
"SVK","ULC","EMP","PC_CHGPP","A","2019",5.284237,
"NZL","ULC","EMP","PC_CHGPP","A","2001",2.385646,
"NZL","ULC","EMP","PC_CHGPP","A","2002",1.963576,
"NZL","ULC","EMP","PC_CHGPP","A","2003",1.396782,
"NZL","ULC","EMP","PC_CHGPP","A","2004",1.640587,
"NZL","ULC","EMP","PC_CHGPP","A","2005",2.724097,
"NZL","ULC","EMP","PC_CHGPP","A","2006",3.572399,
"NZL","ULC","EMP","PC_CHGPP","A","2007",1.575619,
"NZL","ULC","EMP","PC_CHGPP","A","2008",6.720051,
"NZL","ULC","EMP","PC_CHGPP","A","2009",-1.310538,
"NZL","ULC","EMP","PC_CHGPP","A","2010",0.9183044,
"NZL","ULC","EMP","PC_CHGPP","A","2011",4.055377,
"NZL","ULC","EMP","PC_CHGPP","A","2012",2.298557,
"NZL","ULC","EMP","PC_CHGPP","A","2013",1.515053,
"NZL","ULC","EMP","PC_CHGPP","A","2014",1.813652,
"NZL","ULC","EMP","PC_CHGPP","A","2015",0.340596,
"NZL","ULC","EMP","PC_CHGPP","A","2016",5.363827,
"NZL","ULC","EMP","PC_CHGPP","A","2017",2.846687,
"NZL","ULC","EMP","PC_CHGPP","A","2018",2.133875,
"NZL","ULC","EMP","PC_CHGPP","A","2019",2.500412,
"NZL","ULC","EMP","PC_CHGPP","A","2020",5.51268,
"NZL","ULC","EMP","PC_CHGPP","A","2021",3.708062,
"PRT","ULC","EMP","PC_CHGPP","A","2001",3.982229,
"PRT","ULC","EMP","PC_CHGPP","A","2002",3.174623,
"PRT","ULC","EMP","PC_CHGPP","A","2003",3.135437,
"PRT","ULC","EMP","PC_CHGPP","A","2004",0.7367815,
"PRT","ULC","EMP","PC_CHGPP","A","2005",3.411998,
"PRT","ULC","EMP","PC_CHGPP","A","2006",0.6024128,
"PRT","ULC","EMP","PC_CHGPP","A","2007",0.9303964,
"PRT","ULC","EMP","PC_CHGPP","A","2008",2.681006,
"PRT","ULC","EMP","PC_CHGPP","A","2009",2.811426,
"PRT","ULC","EMP","PC_CHGPP","A","2010",-1.125305,
"PRT","ULC","EMP","PC_CHGPP","A","2011",-2.122036,
"PRT","ULC","EMP","PC_CHGPP","A","2012",-3.096329,
"PRT","ULC","EMP","PC_CHGPP","A","2013",1.45474,
"PRT","ULC","EMP","PC_CHGPP","A","2014",-1.218285,
"PRT","ULC","EMP","PC_CHGPP","A","2015",-0.07165761,
"PRT","ULC","EMP","PC_CHGPP","A","2016",0.7971905,
"PRT","ULC","EMP","PC_CHGPP","A","2017",2.068979,
"PRT","ULC","EMP","PC_CHGPP","A","2018",3.361097,
"PRT","ULC","EMP","PC_CHGPP","A","2019",2.843607,
"PRT","ULC","EMP","PC_CHGPP","A","2020",9.023427,
"PRT","ULC","EMP","PC_CHGPP","A","2021",0.3769453,
"AUS","ULC","EMP","PC_CHGPP","A","2001",3.188884,
"AUS","ULC","EMP","PC_CHGPP","A","2002",1.330781,
"AUS","ULC","EMP","PC_CHGPP","A","2003",2.790638,
"AUS","ULC","EMP","PC_CHGPP","A","2004",2.835867,
"AUS","ULC","EMP","PC_CHGPP","A","2005",3.872693,
"AUS","ULC","EMP","PC_CHGPP","A","2006",4.347988,
"AUS","ULC","EMP","PC_CHGPP","A","2007",4.928735,
"AUS","ULC","EMP","PC_CHGPP","A","2008",4.316244,
"AUS","ULC","EMP","PC_CHGPP","A","2009",-0.1702036,
"AUS","ULC","EMP","PC_CHGPP","A","2010",5.085147,
"AUS","ULC","EMP","PC_CHGPP","A","2011",4.685419,
"AUS","ULC","EMP","PC_CHGPP","A","2012",0.6752144,
"AUS","ULC","EMP","PC_CHGPP","A","2013",0.486404,
"AUS","ULC","EMP","PC_CHGPP","A","2014",0.9015002,
"AUS","ULC","EMP","PC_CHGPP","A","2015",0.615789,
"AUS","ULC","EMP","PC_CHGPP","A","2016",0.04344479,
"AUS","ULC","EMP","PC_CHGPP","A","2017",0.9517682,
"AUS","ULC","EMP","PC_CHGPP","A","2018",1.987751,
"AUS","ULC","EMP","PC_CHGPP","A","2019",3.449225,
"AUS","ULC","EMP","PC_CHGPP","A","2020",4.363118,
"AUS","ULC","EMP","PC_CHGPP","A","2021",0.1117332,
"GBR","ULC","EMP","PC_CHGPP","A","2001",4.212503,
"GBR","ULC","EMP","PC_CHGPP","A","2002",0.6638953,
"GBR","ULC","EMP","PC_CHGPP","A","2003",3.004018,
"GBR","ULC","EMP","PC_CHGPP","A","2004",4.457145,
"GBR","ULC","EMP","PC_CHGPP","A","2005",2.994151,
"GBR","ULC","EMP","PC_CHGPP","A","2006",3.882256,
"GBR","ULC","EMP","PC_CHGPP","A","2007",4.241792,
"GBR","ULC","EMP","PC_CHGPP","A","2008",1.979226,
"GBR","ULC","EMP","PC_CHGPP","A","2009",3.708876,
"GBR","ULC","EMP","PC_CHGPP","A","2010",0.8036252,
"GBR","ULC","EMP","PC_CHGPP","A","2011",1.310868,
"GBR","ULC","EMP","PC_CHGPP","A","2012",0.8342307,
"GBR","ULC","EMP","PC_CHGPP","A","2013",2.177173,
"GBR","ULC","EMP","PC_CHGPP","A","2014",0.05619333,
"GBR","ULC","EMP","PC_CHGPP","A","2015",0.7170978,
"GBR","ULC","EMP","PC_CHGPP","A","2016",2.236197,
"GBR","ULC","EMP","PC_CHGPP","A","2017",1.32055,
"GBR","ULC","EMP","PC_CHGPP","A","2018",2.445356,
"GBR","ULC","EMP","PC_CHGPP","A","2019",3.516802,
"GBR","ULC","EMP","PC_CHGPP","A","2020",12.18081,
"GBR","ULC","EMP","PC_CHGPP","A","2021",-3.409674,
"GRC","ULC","EMP","PC_CHGPP","A","2001",2.236417,
"GRC","ULC","EMP","PC_CHGPP","A","2002",8.645239,
"GRC","ULC","EMP","PC_CHGPP","A","2003",2.968441,
"GRC","ULC","EMP","PC_CHGPP","A","2004",2.391488,
"GRC","ULC","EMP","PC_CHGPP","A","2005",8.787257,
"GRC","ULC","EMP","PC_CHGPP","A","2006",-0.6084414,
"GRC","ULC","EMP","PC_CHGPP","A","2007",2.847579,
"GRC","ULC","EMP","PC_CHGPP","A","2008",5.100564,
"GRC","ULC","EMP","PC_CHGPP","A","2009",6.943643,
"GRC","ULC","EMP","PC_CHGPP","A","2010",-0.3169203,
"GRC","ULC","EMP","PC_CHGPP","A","2011",2.811054,
"GRC","ULC","EMP","PC_CHGPP","A","2012",-0.7332566,
"GRC","ULC","EMP","PC_CHGPP","A","2013",-6.33757,
"GRC","ULC","EMP","PC_CHGPP","A","2014",-1.780446,
"GRC","ULC","EMP","PC_CHGPP","A","2015",-2.911523,
"GRC","ULC","EMP","PC_CHGPP","A","2016",0.207115,
"GRC","ULC","EMP","PC_CHGPP","A","2017",-0.1518695,
"GRC","ULC","EMP","PC_CHGPP","A","2018",-1.056073,
"GRC","ULC","EMP","PC_CHGPP","A","2019",-0.07052646,
"GRC","ULC","EMP","PC_CHGPP","A","2020",7.056468,
"GRC","ULC","EMP","PC_CHGPP","A","2021",-3.09798,
"SVN","ULC","EMP","PC_CHGPP","A","2001",8.560747,
"SVN","ULC","EMP","PC_CHGPP","A","2002",6.427549,
"SVN","ULC","EMP","PC_CHGPP","A","2003",4.45261,
"SVN","ULC","EMP","PC_CHGPP","A","2004",3.819164,
"SVN","ULC","EMP","PC_CHGPP","A","2005",1.505422,
"SVN","ULC","EMP","PC_CHGPP","A","2006",1.035993,
"SVN","ULC","EMP","PC_CHGPP","A","2007",2.41309,
"SVN","ULC","EMP","PC_CHGPP","A","2008",6.436729,
"SVN","ULC","EMP","PC_CHGPP","A","2009",8.75071,
"SVN","ULC","EMP","PC_CHGPP","A","2010",0.1608522,
"SVN","ULC","EMP","PC_CHGPP","A","2011",-1.072726,
"SVN","ULC","EMP","PC_CHGPP","A","2012",0.7670058,
"SVN","ULC","EMP","PC_CHGPP","A","2013",0.1320202,
"SVN","ULC","EMP","PC_CHGPP","A","2014",-0.8948535,
"SVN","ULC","EMP","PC_CHGPP","A","2015",0.8600593,
"SVN","ULC","EMP","PC_CHGPP","A","2016",1.681893,
"SVN","ULC","EMP","PC_CHGPP","A","2017",0.9158821,
"SVN","ULC","EMP","PC_CHGPP","A","2018",2.676004,
"SVN","ULC","EMP","PC_CHGPP","A","2019",3.711061,
"SVN","ULC","EMP","PC_CHGPP","A","2020",8.21832,
"SVN","ULC","EMP","PC_CHGPP","A","2021",0.6974525,
"EA19","ULC","EMP","PC_CHGPP","A","2001",1.751486,
"EA19","ULC","EMP","PC_CHGPP","A","2002",2.484436,
"EA19","ULC","EMP","PC_CHGPP","A","2003",2.152966,
"EA19","ULC","EMP","PC_CHGPP","A","2004",0.956013,
"EA19","ULC","EMP","PC_CHGPP","A","2005",1.33812,
"EA19","ULC","EMP","PC_CHGPP","A","2006",0.7820686,
"EA19","ULC","EMP","PC_CHGPP","A","2007",1.418098,
"EA19","ULC","EMP","PC_CHGPP","A","2008",3.927193,
"EA19","ULC","EMP","PC_CHGPP","A","2009",4.3528,
"EA19","ULC","EMP","PC_CHGPP","A","2010",-0.4867281,
"EA19","ULC","EMP","PC_CHGPP","A","2011",0.4107761,
"EA19","ULC","EMP","PC_CHGPP","A","2012",1.958025,
"EA19","ULC","EMP","PC_CHGPP","A","2013",1.197017,
"EA19","ULC","EMP","PC_CHGPP","A","2014",0.6399686,
"EA19","ULC","EMP","PC_CHGPP","A","2015",0.4664665,
"EA19","ULC","EMP","PC_CHGPP","A","2016",0.7941404,
"EA19","ULC","EMP","PC_CHGPP","A","2017",0.5789497,
"EA19","ULC","EMP","PC_CHGPP","A","2018",1.983813,
"EA19","ULC","EMP","PC_CHGPP","A","2019",1.911015,
"EA19","ULC","EMP","PC_CHGPP","A","2020",4.866123,
"EA19","ULC","EMP","PC_CHGPP","A","2021",-0.02927035,
"JPN","ULC","EMP","PC_CHGPP","A","2001",-2.22242,
"JPN","ULC","EMP","PC_CHGPP","A","2002",-4.078957,
"JPN","ULC","EMP","PC_CHGPP","A","2003",-2.779274,
"JPN","ULC","EMP","PC_CHGPP","A","2004",-2.093123,
