"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2001",0.144,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2002",0.143,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2003",0.14,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2004",0.137,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2005",0.134,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2006",0.136,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2007",0.134,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2008",0.135,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2009",0.133,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2010",0.13,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2011",0.127,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2012",0.121,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2013",0.12,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2014",0.117,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2015",0.114,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2016",0.111,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2017",0.109,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2018",0.107,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2019",0.106,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2020",0.109,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2021",0.104,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2001",0.085,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2002",0.084,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2003",0.088,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2004",0.087,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2005",0.088,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2006",0.086,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2007",0.081,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2008",0.08,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2009",0.079,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2010",0.083,
